epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9154,1.40935,3.09258,0.97038,0.00428,0.85973,0.00874,0.00447,1.04438,3.89434,0.81959,0.000649123,0.000649123,0.000649123
2,20.5748,1.32309,1.80867,0.92736,0.00367,0.73756,0.00691,0.00392,1.08355,3.55324,0.84393,0.00128974,0.00128974,0.00128974
3,28.9403,1.15431,1.45352,0.90268,0.92915,0.47471,0.77913,0.5148,1.14088,2.05535,0.86158,0.00190395,0.00190395,0.00190395
4,37.0545,1.19824,1.33246,0.90824,0.92063,0.77828,0.89076,0.61068,1.04914,0.95873,0.85436,0.0018812,0.0018812,0.0018812
5,44.7626,1.12497,1.12845,0.88997,0.91312,0.79638,0.89826,0.63132,1.05221,0.90923,0.84373,0.0018416,0.0018416,0.0018416
6,52.632,1.09786,1.01105,0.88161,0.90786,0.8552,0.9029,0.61347,0.98149,0.76215,0.83629,0.001802,0.001802,0.001802
7,60.4576,1.06698,0.9372,0.87154,0.91761,0.85674,0.91808,0.66068,0.88791,0.76345,0.82728,0.0017624,0.0017624,0.0017624
8,69.432,1.09648,0.90407,0.86795,0.91846,0.83258,0.9119,0.66509,0.91662,0.67903,0.82263,0.0017228,0.0017228,0.0017228
9,79.1556,1.05265,0.7813,0.8662,0.9301,0.8552,0.93798,0.68142,0.92497,0.59334,0.82803,0.0016832,0.0016832,0.0016832
10,87.1536,1.02313,0.75973,0.8553,0.88761,0.85768,0.92714,0.6877,0.88716,0.68968,0.81678,0.0016436,0.0016436,0.0016436
11,94.7211,1.00577,0.71516,0.8704,0.89648,0.88688,0.93349,0.63952,1.08392,0.65272,0.8495,0.001604,0.001604,0.001604
12,102.617,0.98441,0.68967,0.8634,0.90376,0.83258,0.90706,0.65711,0.90437,0.62975,0.82483,0.0015644,0.0015644,0.0015644
13,110.43,0.9394,0.66505,0.85112,0.93383,0.84615,0.93108,0.70284,0.83412,0.61992,0.80836,0.0015248,0.0015248,0.0015248
14,117.923,0.90892,0.66108,0.81973,0.92465,0.83287,0.93189,0.68996,0.93455,0.60704,0.83039,0.0014852,0.0014852,0.0014852
15,126.23,0.92951,0.63126,0.84269,0.96929,0.8371,0.93797,0.70325,0.85646,0.62717,0.81847,0.0014456,0.0014456,0.0014456
