epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.553,0.87888,3.04562,1.38224,0.61867,0.59836,0.64805,0.557,0.61994,1.01901,1.25174,7.08939e-05,7.08939e-05,7.08939e-05
2,436.232,0.63289,1.274,1.16096,0.77939,0.77912,0.84261,0.74458,0.53795,0.65482,1.17764,0.000137211,0.000137211,0.000137211
3,649.899,0.59444,1.01969,1.13095,0.86703,0.76394,0.88363,0.78177,0.52907,0.61152,1.15054,0.000198843,0.000198843,0.000198843
4,865.433,0.56494,0.9109,1.10991,0.91987,0.80836,0.90298,0.81141,0.4861,0.55326,1.09952,0.000191913,0.000191913,0.000191913
5,1075.2,0.53961,0.82016,1.09116,0.92315,0.86586,0.94467,0.83886,0.52094,0.45705,1.12841,0.000184884,0.000184884,0.000184884
6,1283.93,0.51874,0.75125,1.07633,0.94308,0.89758,0.95846,0.87548,0.45218,0.39122,1.06241,0.000177855,0.000177855,0.000177855
7,1494.03,0.50253,0.71213,1.06686,0.94128,0.92231,0.9681,0.88255,0.45524,0.35319,1.05213,0.000170826,0.000170826,0.000170826
8,1700.35,0.48649,0.66795,1.0537,0.96076,0.90848,0.9675,0.89186,0.41231,0.34608,1.02039,0.000163797,0.000163797,0.000163797
9,1909.06,0.48108,0.64731,1.05235,0.96149,0.92447,0.97536,0.89583,0.43609,0.29822,1.03621,0.000156768,0.000156768,0.000156768
10,2119.84,0.47065,0.62246,1.0458,0.97834,0.93378,0.97528,0.89419,0.43777,0.30536,1.03485,0.000149739,0.000149739,0.000149739
11,2331.17,0.46185,0.59351,1.04198,0.96001,0.91865,0.95672,0.8949,0.37721,0.28703,0.98686,0.00014271,0.00014271,0.00014271
12,2554.51,0.44972,0.56354,1.03539,0.9844,0.93444,0.97844,0.91455,0.38021,0.28207,0.99513,0.000135681,0.000135681,0.000135681
13,2775.11,0.44027,0.551,1.03235,0.9767,0.92962,0.97782,0.91376,0.37932,0.28835,0.99563,0.000128652,0.000128652,0.000128652
14,2980.35,0.42821,0.53556,1.02622,0.98304,0.93554,0.98021,0.92051,0.37354,0.26054,0.98023,0.000121623,0.000121623,0.000121623
15,3190.48,0.41605,0.51285,1.0192,0.978,0.93767,0.98035,0.92374,0.35006,0.24922,0.97545,0.000114594,0.000114594,0.000114594
16,3400.16,0.40745,0.49622,1.01286,0.98569,0.93708,0.97935,0.92249,0.363,0.25486,0.97751,0.000107565,0.000107565,0.000107565
17,3617.4,0.40495,0.48225,1.01573,0.98243,0.94697,0.98153,0.91983,0.38128,0.24652,0.99006,0.000100536,0.000100536,0.000100536
18,3828.81,0.39655,0.46272,1.00829,0.98853,0.94211,0.98214,0.93437,0.33172,0.22613,0.96032,9.3507e-05,9.3507e-05,9.3507e-05
19,4041.05,0.38996,0.44486,1.01039,0.98877,0.94116,0.98297,0.93297,0.34197,0.22919,0.96258,8.6478e-05,8.6478e-05,8.6478e-05
20,4240.57,0.38243,0.43619,1.00473,0.98519,0.95,0.98375,0.93299,0.34027,0.22401,0.96583,7.9449e-05,7.9449e-05,7.9449e-05
21,4468.02,0.42773,0.2567,1.11947,0.98491,0.9464,0.98228,0.93374,0.33424,0.2239,0.95743,7.242e-05,7.242e-05,7.242e-05
22,4666.46,0.41266,0.23882,1.10381,0.98535,0.94687,0.98069,0.92957,0.34273,0.22467,0.96068,6.5391e-05,6.5391e-05,6.5391e-05
23,4864.18,0.40154,0.22859,1.08965,0.99046,0.95011,0.98406,0.93701,0.34239,0.22011,0.96017,5.8362e-05,5.8362e-05,5.8362e-05
24,5062.33,0.38972,0.21932,1.07803,0.98611,0.9493,0.98373,0.93978,0.32614,0.21039,0.94961,5.1333e-05,5.1333e-05,5.1333e-05
25,5262.28,0.38098,0.21041,1.06675,0.98269,0.95066,0.98352,0.93815,0.33785,0.21522,0.96159,4.4304e-05,4.4304e-05,4.4304e-05
26,5462.31,0.36722,0.20389,1.05953,0.99054,0.94777,0.9842,0.94383,0.31688,0.2063,0.94289,3.7275e-05,3.7275e-05,3.7275e-05
27,5662.46,0.36594,0.19694,1.05762,0.98554,0.9543,0.98444,0.9458,0.31224,0.19852,0.94186,3.0246e-05,3.0246e-05,3.0246e-05
28,5862.76,0.35703,0.19104,1.04976,0.99222,0.94893,0.98428,0.94424,0.31365,0.19416,0.9409,2.3217e-05,2.3217e-05,2.3217e-05
29,6063.17,0.3488,0.18718,1.03658,0.98907,0.95127,0.98478,0.94597,0.3099,0.19418,0.94507,1.6188e-05,1.6188e-05,1.6188e-05
30,6264.38,0.3411,0.18237,1.02951,0.99048,0.94939,0.98483,0.9471,0.31021,0.19287,0.94229,9.159e-06,9.159e-06,9.159e-06
